[2024-11-27 09:36:33.395]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible janoamaral/tokyo-night-tmux aserowy/tmux.nvim
[2024-11-27 09:36:33.404]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 09:36:33.404]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 09:36:33.613]	 Already installed "tokyo-night-tmux"
[2024-11-27 09:36:33.617]	 Already installed "tmux-continuum"
[2024-11-27 09:36:33.617]	 Already installed "tmux-copycat"
[2024-11-27 09:36:33.617]	 Already installed "tmux-cpu"
[2024-11-27 09:36:33.617]	 Already installed "tmux-sensible"
[2024-11-27 09:36:33.617]	 Already installed "tmux-pain-control"
[2024-11-27 09:36:33.617]	 Already installed "tmux-resurrect"
[2024-11-27 09:36:33.617]	 Already installed "tmux.nvim"
[2024-11-27 09:36:33.615]	 Already installed "tmux-copycat"
[2024-11-27 09:36:33.617]	 Already installed "tmux-resurrect"
[2024-11-27 09:36:33.617]	 Already installed "tmux-cpu"
[2024-11-27 09:36:33.617]	 Already installed "tmux-pain-control"
[2024-11-27 09:36:33.617]	 Already installed "tmux-continuum"
[2024-11-27 09:36:33.617]	 Already installed "tokyo-night-tmux"
[2024-11-27 09:36:33.618]	 Already installed "tmux-sensible"
[2024-11-27 09:36:33.619]	 Already installed "tmux.nvim"
[2024-11-27 09:36:33.627]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 09:36:33.629]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 09:36:33.744]	 Updating all plugins!
[2024-11-27 09:36:33.745]	 
[2024-11-27 09:36:34.282]	   "tmux-copycat" update success
[2024-11-27 09:36:34.286]	     | Already up to date.
[2024-11-27 09:36:34.294]	   "tmux-continuum" update success
[2024-11-27 09:36:34.296]	     | Already up to date.
[2024-11-27 09:36:34.336]	   "tmux-pain-control" update success
[2024-11-27 09:36:34.336]	   "tmux-cpu" update success
[2024-11-27 09:36:34.339]	     | Already up to date.
[2024-11-27 09:36:34.342]	     | Already up to date.
[2024-11-27 09:36:34.347]	   "tmux-resurrect" update success
[2024-11-27 09:36:34.350]	     | Already up to date.
[2024-11-27 09:36:34.364]	   "tokyo-night-tmux" update success
[2024-11-27 09:36:34.367]	     | Already up to date.
[2024-11-27 09:36:34.385]	   "tmux.nvim" update success
[2024-11-27 09:36:34.387]	     | Already up to date.
[2024-11-27 09:36:34.387]	   "tmux-sensible" update success
[2024-11-27 09:36:34.388]	     | Already up to date.
[2024-11-27 09:36:33.744]	 Updating all plugins!
[2024-11-27 09:36:33.744]	 
[2024-11-27 09:36:34.284]	   "tmux-copycat" update success
[2024-11-27 09:36:34.285]	   "tmux-cpu" update success
[2024-11-27 09:36:34.289]	     | Already up to date.
[2024-11-27 09:36:34.290]	     | Already up to date.
[2024-11-27 09:36:34.291]	   "tmux-resurrect" update success
[2024-11-27 09:36:34.294]	     | Already up to date.
[2024-11-27 09:36:34.330]	   "tmux-pain-control" update success
[2024-11-27 09:36:34.333]	     | Already up to date.
[2024-11-27 09:36:34.336]	   "tmux-continuum" update success
[2024-11-27 09:36:34.339]	     | Already up to date.
[2024-11-27 09:36:34.362]	   "tokyo-night-tmux" update success
[2024-11-27 09:36:34.365]	     | Already up to date.
[2024-11-27 09:36:34.384]	   "tmux.nvim" update success
[2024-11-27 09:36:34.386]	     | Already up to date.
[2024-11-27 09:36:34.394]	   "tmux-sensible" update success
[2024-11-27 09:36:34.395]	     | Already up to date.
[2024-11-27 09:36:34.398]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-27 09:36:34.405]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-27 09:36:34.448]	 Done.

[2024-11-27 09:36:34.449]	 Done.

[2024-11-27 14:16:51.572]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible janoamaral/tokyo-night-tmux aserowy/tmux.nvim
[2024-11-27 14:16:51.582]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 14:16:51.752]	 Already installed "tmux-copycat"
[2024-11-27 14:16:51.753]	 Already installed "tmux-cpu"
[2024-11-27 14:16:51.753]	 Already installed "tmux-continuum"
[2024-11-27 14:16:51.753]	 Already installed "tmux-resurrect"
[2024-11-27 14:16:51.754]	 Already installed "tmux-sensible"
[2024-11-27 14:16:51.754]	 Already installed "tmux-pain-control"
[2024-11-27 14:16:51.756]	 Already installed "tokyo-night-tmux"
[2024-11-27 14:16:51.756]	 Already installed "tmux.nvim"
[2024-11-27 14:16:51.766]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 14:16:51.892]	 Updating all plugins!
[2024-11-27 14:16:51.893]	 
[2024-11-27 14:16:52.310]	   "tmux-copycat" update success
[2024-11-27 14:16:52.318]	     | Already up to date.
[2024-11-27 14:16:52.321]	   "tmux-cpu" update success
[2024-11-27 14:16:52.332]	     | Already up to date.
[2024-11-27 14:16:52.413]	   "tmux-resurrect" update success
[2024-11-27 14:16:52.417]	     | Already up to date.
[2024-11-27 14:16:52.433]	   "tmux-continuum" update success
[2024-11-27 14:16:52.435]	     | Already up to date.
[2024-11-27 14:16:52.439]	   "tmux-pain-control" update success
[2024-11-27 14:16:52.441]	   "tmux-sensible" update success
[2024-11-27 14:16:52.442]	   "tokyo-night-tmux" update success
[2024-11-27 14:16:52.442]	     | Already up to date.
[2024-11-27 14:16:52.442]	   "tmux.nvim" update success
[2024-11-27 14:16:52.443]	     | Already up to date.
[2024-11-27 14:16:52.444]	     | Already up to date.
[2024-11-27 14:16:52.444]	     | Already up to date.
[2024-11-27 14:16:52.453]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-27 14:16:52.501]	 Done.

[2024-11-27 14:17:19.771]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible janoamaral/tokyo-night-tmux aserowy/tmux.nvim
[2024-11-27 14:17:19.781]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 14:17:19.953]	 Already installed "tmux-copycat"
[2024-11-27 14:17:19.953]	 Already installed "tmux-resurrect"
[2024-11-27 14:17:19.953]	 Already installed "tmux-cpu"
[2024-11-27 14:17:19.953]	 Already installed "tmux-sensible"
[2024-11-27 14:17:19.954]	 Already installed "tmux.nvim"
[2024-11-27 14:17:19.954]	 Already installed "tmux-continuum"
[2024-11-27 14:17:19.955]	 Already installed "tmux-pain-control"
[2024-11-27 14:17:19.956]	 Already installed "tokyo-night-tmux"
[2024-11-27 14:17:19.966]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 14:17:20.191]	 Updating all plugins!
[2024-11-27 14:17:20.192]	 
[2024-11-27 14:17:20.825]	   "tmux-cpu" update success
[2024-11-27 14:17:20.833]	     | Already up to date.
[2024-11-27 14:17:20.867]	   "tmux-resurrect" update success
[2024-11-27 14:17:20.867]	   "tmux-continuum" update success
[2024-11-27 14:17:20.877]	     | Already up to date.
[2024-11-27 14:17:20.879]	     | Already up to date.
[2024-11-27 14:17:20.885]	   "tmux-copycat" update success
[2024-11-27 14:17:20.898]	     | Already up to date.
[2024-11-27 14:17:20.914]	   "tmux-pain-control" update success
[2024-11-27 14:17:20.920]	     | Already up to date.
[2024-11-27 14:17:20.961]	   "tmux-sensible" update success
[2024-11-27 14:17:20.968]	     | Already up to date.
[2024-11-27 14:17:20.987]	   "tmux.nvim" update success
[2024-11-27 14:17:20.995]	     | Already up to date.
[2024-11-27 14:17:21.013]	   "tokyo-night-tmux" update success
[2024-11-27 14:17:21.017]	     | Already up to date.
[2024-11-27 14:17:21.039]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-27 14:17:21.192]	 Done.

[2024-11-27 14:38:27.977]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible janoamaral/tokyo-night-tmux aserowy/tmux.nvim
[2024-11-27 14:38:27.987]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 14:38:28.166]	 Already installed "tmux-copycat"
[2024-11-27 14:38:28.168]	 Already installed "tmux-cpu"
[2024-11-27 14:38:28.168]	 Already installed "tmux-resurrect"
[2024-11-27 14:38:28.169]	 Already installed "tmux-continuum"
[2024-11-27 14:38:28.170]	 Already installed "tmux-pain-control"
[2024-11-27 14:38:28.171]	 Already installed "tokyo-night-tmux"
[2024-11-27 14:38:28.171]	 Already installed "tmux-sensible"
[2024-11-27 14:38:28.171]	 Already installed "tmux.nvim"
[2024-11-27 14:38:28.182]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 14:38:28.299]	 Updating all plugins!
[2024-11-27 14:38:28.299]	 
[2024-11-27 14:38:28.732]	   "tmux-cpu" update success
[2024-11-27 14:38:28.736]	     | Already up to date.
[2024-11-27 14:38:28.740]	   "tmux-copycat" update success
[2024-11-27 14:38:28.743]	     | Already up to date.
[2024-11-27 14:38:28.744]	   "tmux-resurrect" update success
[2024-11-27 14:38:28.747]	     | Already up to date.
